locus_tag,ftype,length_bp,gene,EC_number,COG,product,strain,functional_category
KJKMEAPO_00015,CDS,108,,,,hypothetical protein,JAKTYT010000015,Other
KJKMEAPO_00016,CDS,258,,,,hypothetical protein,JAKTYT010000015,Other
KJKMEAPO_00017,CDS,1155,gatA,6.3.5.7,COG0154,Glutamyl-tRNA(Gln) amidotransferase subunit A,JAKTYT010000015,Other
KJKMEAPO_00018,CDS,1374,,,,hypothetical protein,JAKTYT010000015,Other
KJKMEAPO_00019,CDS,393,,,,hypothetical protein,JAKTYT010000015,Other
KJKMEAPO_00020,CDS,984,,,,hypothetical protein,JAKTYT010000015,Other
KJKMEAPO_00021,CDS,1038,,,,hypothetical protein,JAKTYT010000015,Other
KJKMEAPO_00022,CDS,333,,,,hypothetical protein,JAKTYT010000015,Other
KJKMEAPO_00023,CDS,168,,,,hypothetical protein,JAKTYT010000015,Other
IPDHKDKD_00001,CDS,192,,,,hypothetical protein,JAKTYT010000017,Other
IPDHKDKD_00002,CDS,132,,,,hypothetical protein,JAKTYT010000017,Other
IPDHKDKD_00003,CDS,672,,,,hypothetical protein,JAKTYT010000017,Other
IPDHKDKD_00004,CDS,477,,,,hypothetical protein,JAKTYT010000017,Other
IPDHKDKD_00005,CDS,1800,,,,hypothetical protein,JAKTYT010000017,Other
IPDHKDKD_00006,CDS,114,,,,hypothetical protein,JAKTYT010000017,Other
IPDHKDKD_00007,CDS,366,,,,hypothetical protein,JAKTYT010000017,Other
IPDHKDKD_00008,CDS,495,,,,hypothetical protein,JAKTYT010000017,Other
IPDHKDKD_00009,CDS,174,,,,hypothetical protein,JAKTYT010000017,Other
IPDHKDKD_00010,CDS,249,,,,hypothetical protein,JAKTYT010000017,Other
IPDHKDKD_00011,CDS,198,,,,hypothetical protein,JAKTYT010000017,Other
IPDHKDKD_00012,CDS,123,,,,hypothetical protein,JAKTYT010000017,Other
IPDHKDKD_00013,CDS,177,,,,hypothetical protein,JAKTYT010000017,Other
IPDHKDKD_00014,CDS,1005,tesB,3.1.2.20,COG1946,Acyl-CoA thioesterase 2,JAKTYT010000017,Other
IPDHKDKD_00015,CDS,126,,,,hypothetical protein,JAKTYT010000017,Other
IPDHKDKD_00016,CDS,1020,,,,hypothetical protein,JAKTYT010000017,Other
IPDHKDKD_00017,CDS,132,,,,hypothetical protein,JAKTYT010000017,Other
IPDHKDKD_00018,CDS,108,,,,hypothetical protein,JAKTYT010000017,Other
IPDHKDKD_00019,CDS,240,,,,hypothetical protein,JAKTYT010000017,Other
IPDHKDKD_00020,CDS,144,,,,hypothetical protein,JAKTYT010000017,Other
IPDHKDKD_00021,CDS,423,,,,hypothetical protein,JAKTYT010000017,Other
IPDHKDKD_00022,CDS,165,,,,hypothetical protein,JAKTYT010000017,Other
IPDHKDKD_00023,CDS,99,,,,hypothetical protein,JAKTYT010000017,Other
IPDHKDKD_00024,CDS,237,,,,hypothetical protein,JAKTYT010000017,Other
IPDHKDKD_00025,CDS,195,,,,hypothetical protein,JAKTYT010000017,Other
IPDHKDKD_00026,CDS,339,,,,hypothetical protein,JAKTYT010000017,Other
IPDHKDKD_00027,CDS,354,,,,hypothetical protein,JAKTYT010000017,Other
IPDHKDKD_00028,CDS,99,,,,hypothetical protein,JAKTYT010000017,Other
IPDHKDKD_00029,CDS,1335,mutL,,,DNA mismatch repair protein MutL,JAKTYT010000017,Other
IPDHKDKD_00030,CDS,201,,,,hypothetical protein,JAKTYT010000017,Other
IPDHKDKD_00031,CDS,180,,,,hypothetical protein,JAKTYT010000017,Other
IPDHKDKD_00032,CDS,147,,,,hypothetical protein,JAKTYT010000017,Other
IPDHKDKD_00033,CDS,132,,,,hypothetical protein,JAKTYT010000017,Other
IPDHKDKD_00034,CDS,840,,,,hypothetical protein,JAKTYT010000017,Other
IPDHKDKD_00035,CDS,1164,,,,hypothetical protein,JAKTYT010000017,Other
IPDHKDKD_00036,CDS,240,,,,hypothetical protein,JAKTYT010000017,Other
IPDHKDKD_00037,CDS,261,,,,hypothetical protein,JAKTYT010000017,Other
IPDHKDKD_00038,CDS,246,,,,hypothetical protein,JAKTYT010000017,Other
KNIFLLMB_00001,CDS,576,,,,hypothetical protein,JAKTYT010000018,Other
KNIFLLMB_00002,CDS,507,,,,hypothetical protein,JAKTYT010000018,Other
KNIFLLMB_00003,CDS,126,,,,hypothetical protein,JAKTYT010000018,Other
KNIFLLMB_00004,CDS,597,,,,hypothetical protein,JAKTYT010000018,Other
KNIFLLMB_00005,CDS,654,,,,hypothetical protein,JAKTYT010000018,Other
KNIFLLMB_00006,CDS,177,,,,hypothetical protein,JAKTYT010000018,Other
KNIFLLMB_00007,CDS,480,gpx1_1,1.11.1.22,COG0386,Hydroperoxy fatty acid reductase gpx1,JAKTYT010000018,Other
KNIFLLMB_00008,CDS,1134,,,,hypothetical protein,JAKTYT010000018,Other
KNIFLLMB_00009,CDS,186,,,,hypothetical protein,JAKTYT010000018,Other
KNIFLLMB_00010,CDS,1401,,,,hypothetical protein,JAKTYT010000018,Other
KNIFLLMB_00011,CDS,495,gpx1_2,1.11.1.22,COG0386,Hydroperoxy fatty acid reductase gpx1,JAKTYT010000018,Other
KNIFLLMB_00012,CDS,975,,,,hypothetical protein,JAKTYT010000018,Other
KNIFLLMB_00013,CDS,318,,,,hypothetical protein,JAKTYT010000018,Other
KNIFLLMB_00014,CDS,204,,,,hypothetical protein,JAKTYT010000018,Other
KNIFLLMB_00015,CDS,2520,,,,hypothetical protein,JAKTYT010000018,Other
KNIFLLMB_00016,CDS,171,,,,hypothetical protein,JAKTYT010000018,Other
KNIFLLMB_00017,CDS,906,,,,hypothetical protein,JAKTYT010000018,Other
EOIJKNNH_00001,CDS,1677,,,,hypothetical protein,JAKTYT010000019,Other
EOIJKNNH_00002,CDS,648,prmC,2.1.1.297,,Release factor glutamine methyltransferase,JAKTYT010000019,Other
EOIJKNNH_00003,CDS,1554,,,,hypothetical protein,JAKTYT010000019,Other
EOIJKNNH_00004,CDS,1971,,,,hypothetical protein,JAKTYT010000019,Other
EOIJKNNH_00005,CDS,108,,,,hypothetical protein,JAKTYT010000019,Other
EOIJKNNH_00006,CDS,114,,,,hypothetical protein,JAKTYT010000019,Other
EOIJKNNH_00007,CDS,435,,,,hypothetical protein,JAKTYT010000019,Other
EOIJKNNH_00008,CDS,108,,,,hypothetical protein,JAKTYT010000019,Other
EOIJKNNH_00009,CDS,1137,,,,hypothetical protein,JAKTYT010000019,Other
EOIJKNNH_00010,CDS,1749,,,,hypothetical protein,JAKTYT010000019,Other
EOIJKNNH_00011,CDS,2748,leuS,6.1.1.4,,Leucine--tRNA ligase,JAKTYT010000019,Metabolism
EOIJKNNH_00012,CDS,1896,,,,hypothetical protein,JAKTYT010000019,Other
MDLGOKGC_00001,CDS,639,,1.1.1.-,COG0656,Aldo-keto reductase/MSMEI_2347,JAKTYT010000020,Other
MDLGOKGC_00002,CDS,183,,,,hypothetical protein,JAKTYT010000020,Other
MDLGOKGC_00003,CDS,756,yfmJ,1.-.-.-,COG2130,Putative NADP-dependent oxidoreductase YfmJ,JAKTYT010000020,Redox / energy
MDLGOKGC_00004,CDS,132,,,,hypothetical protein,JAKTYT010000020,Other
MDLGOKGC_00005,CDS,270,,,,hypothetical protein,JAKTYT010000020,Other
MDLGOKGC_00006,CDS,318,,,,hypothetical protein,JAKTYT010000020,Other
EMCHGFBB_00001,CDS,1383,gabR,,COG1167,HTH-type transcriptional regulatory protein GabR,JAQFWG010000001,Regulation
EMCHGFBB_00002,CDS,888,pdxS,4.3.3.6,,Pyridoxal 5'-phosphate synthase subunit PdxS,JAQFWG010000001,Metabolism
EMCHGFBB_00003,CDS,558,pdxT,4.3.3.6,,Pyridoxal 5'-phosphate synthase subunit PdxT,JAQFWG010000001,Metabolism
EMCHGFBB_00004,CDS,1215,nupC,,COG1972,Nucleoside permease NupC,JAQFWG010000001,Transport
EMCHGFBB_00005,CDS,462,ctsR,,COG4463,Transcriptional regulator CtsR,JAQFWG010000001,Regulation
EMCHGFBB_00006,CDS,555,mcsA,,COG3880,Protein-arginine kinase activator protein,JAQFWG010000001,Regulation
EMCHGFBB_00007,CDS,1008,mcsB,2.7.14.1,COG3869,Protein-arginine kinase,JAQFWG010000001,Regulation
EMCHGFBB_00008,CDS,2454,clpC,,COG0542,ATP-dependent Clp protease ATP-binding subunit ClpC,JAQFWG010000001,Other
EMCHGFBB_00009,CDS,1365,radA,3.6.4.-,COG1066,DNA repair protein RadA,JAQFWG010000001,Other
EMCHGFBB_00010,CDS,1074,yacL,3.1.-.-,COG4956,putative PIN and TRAM-domain containing protein YacL,JAQFWG010000001,Other
EMCHGFBB_00011,CDS,1455,gltX,6.1.1.17,,Glutamate--tRNA ligase,JAQFWG010000001,Metabolism
EMCHGFBB_00012,CDS,642,cysE,2.3.1.30,,Serine acetyltransferase,JAQFWG010000001,Other
EMCHGFBB_00013,CDS,1401,cysS,6.1.1.16,,Cysteine--tRNA ligase,JAQFWG010000001,Metabolism
EMCHGFBB_00014,CDS,399,mrnC,3.1.26.-,COG1939,Mini-ribonuclease 3,JAQFWG010000001,Other
EMCHGFBB_00015,CDS,747,,2.1.1.-,,Putative TrmH family tRNA/rRNA methyltransferase,JAQFWG010000001,Other
EMCHGFBB_00016,CDS,528,yacP,,COG3688,putative protein YacP,JAQFWG010000001,Other
EMCHGFBB_00017,CDS,582,,,,hypothetical protein,JAQFWG010000001,Other
EMCHGFBB_00018,CDS,183,secE,,,Protein translocase subunit SecE,JAQFWG010000001,Other
EMCHGFBB_00019,CDS,549,nusG,,,Transcription termination/antitermination protein NusG,JAQFWG010000001,Other
EMCHGFBB_00020,CDS,423,rplK,,,Large ribosomal subunit protein uL11,JAQFWG010000001,Other
EMCHGFBB_00021,CDS,696,rplA,,,Large ribosomal subunit protein uL1,JAQFWG010000001,Other
EMCHGFBB_00022,CDS,501,rplJ,,,Large ribosomal subunit protein uL10,JAQFWG010000001,Other
EMCHGFBB_00023,CDS,369,rplL,,,Large ribosomal subunit protein bL12,JAQFWG010000001,Other
EMCHGFBB_00024,CDS,609,rsmC,2.1.1.172,COG2813,Ribosomal RNA small subunit methyltransferase C,JAQFWG010000001,Other
EMCHGFBB_00025,CDS,3552,rpoB,,,DNA-directed RNA polymerase subunit beta RpoB,JAQFWG010000001,Other
EMCHGFBB_00026,CDS,3624,rpoC,,,DNA-directed RNA polymerase subunit beta RpoC,JAQFWG010000001,Other
EMCHGFBB_00027,CDS,261,rulS,,COG1358,RNA-binding protein YbxF,JAQFWG010000001,Other
EMCHGFBB_00028,CDS,414,rpsL,,COG0048,Small ribosomal subunit protein uS12,JAQFWG010000001,Other
EMCHGFBB_00029,CDS,471,rpsG,,COG0049,Small ribosomal subunit protein uS7,JAQFWG010000001,Other
EMCHGFBB_00030,CDS,2082,fusA,,,elongation factor G FusA,JAQFWG010000001,Other
EMCHGFBB_00031,CDS,1185,tuf,3.6.5.3,,Elongation factor Tu,JAQFWG010000001,Other
EMCHGFBB_00032,CDS,1167,scmP,3.5.1.-,COG1473,N-acetylcysteine deacetylase,JAQFWG010000001,Other
EMCHGFBB_00033,CDS,1188,,2.3.1.-,,Putative pyridoxal phosphate-dependent acyltransferase,JAQFWG010000001,Other
EMCHGFBB_00034,CDS,519,,,,hypothetical protein,JAQFWG010000001,Other
EMCHGFBB_00035,CDS,948,arcB,1.5.1.49,,Delta(1)-pyrroline-2-carboxylate reductase,JAQFWG010000001,Other
EMCHGFBB_00036,CDS,771,srlR,,COG1349,Glucitol operon repressor,JAQFWG010000001,Other
EMCHGFBB_00037,CDS,1236,yoaB,,COG2814,Putative transporter YoaB,JAQFWG010000001,Transport
EMCHGFBB_00038,CDS,1068,tarJ,1.1.1.405,COG1063,Ribulose-5-phosphate reductase 1,JAQFWG010000001,Other
EMCHGFBB_00039,CDS,1635,araB,2.7.1.16,COG1069,Ribulokinase,JAQFWG010000001,Regulation
EMCHGFBB_00040,CDS,840,qorB,1.6.5.2,COG0702,Quinone oxidoreductase 2,JAQFWG010000001,Redox / energy
EMCHGFBB_00041,CDS,960,,,,putative epimerase/dehydratase,JAQFWG010000001,Other
EMCHGFBB_00042,CDS,1077,ilvE,2.6.1.42,,putative branched-chain-amino-acid aminotransferase,JAQFWG010000001,Other
EMCHGFBB_00043,CDS,699,indB_1,3.-.-.-,COG0546,putative phosphatase IndB,JAQFWG010000001,Other
EMCHGFBB_00044,CDS,663,dck,2.7.1.74,COG1428,Deoxyadenosine/deoxycytidine kinase,JAQFWG010000001,Regulation
EMCHGFBB_00045,CDS,609,dgk,2.7.1.113,COG1428,Deoxyguanosine kinase,JAQFWG010000001,Regulation
EMCHGFBB_00046,CDS,483,tadA_1,3.5.4.33,,tRNA-specific adenosine deaminase,JAQFWG010000001,Other
EMCHGFBB_00047,CDS,867,ywpJ,3.1.3.-,COG0561,Phosphatase YwpJ,JAQFWG010000001,Other
EMCHGFBB_00048,CDS,567,azo1,1.7.-.-,,FMN-dependent NADPH-azoreductase,JAQFWG010000001,Other
EMCHGFBB_00049,CDS,3978,,,,hypothetical protein,JAQFWG010000001,Other
EMCHGFBB_00050,CDS,3285,,,,hypothetical protein,JAQFWG010000001,Other
EMCHGFBB_00051,CDS,1614,,,,hypothetical protein,JAQFWG010000001,Other
EMCHGFBB_00052,CDS,237,,,,hypothetical protein,JAQFWG010000001,Other
EMCHGFBB_00053,CDS,951,tarS,2.4.1.355,,Poly(ribitol-phosphate) beta-N-acetylglucosaminyltransferase TarS,JAQFWG010000001,Other
EMCHGFBB_00054,CDS,2067,murF,6.3.2.10,,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase,JAQFWG010000001,Metabolism
EMCHGFBB_00055,CDS,1302,exuT,,COG2271,Hexuronate transporter,JAQFWG010000001,Transport
EMCHGFBB_00056,CDS,879,folE2,3.5.4.16,,GTP cyclohydrolase FolE2,JAQFWG010000001,Other
EMCHGFBB_00057,CDS,666,bshB2,3.5.1.-,COG2120,putative N-acetyl-alpha-D-glucosaminyl L-malate deacetylase 2,JAQFWG010000001,Other
EMCHGFBB_00058,CDS,363,yojF,,COG2120,putative protein YojF,JAQFWG010000001,Other
EMCHGFBB_00059,CDS,732,nagB_1,3.5.99.6,,Glucosamine-6-phosphate deaminase,JAQFWG010000001,Other
EMCHGFBB_00060,CDS,633,,4.1.2.43,,3-hexulose-6-phosphate synthase,JAQFWG010000001,Metabolism
EMCHGFBB_00061,CDS,549,hxlB,5.3.1.27,COG0794,3-hexulose-6-phosphate isomerase,JAQFWG010000001,Other
EMCHGFBB_00062,CDS,648,indB_2,3.-.-.-,COG0546,putative phosphatase IndB,JAQFWG010000001,Other
EMCHGFBB_00063,CDS,1374,yhfT,6.2.1.-,COG0318,putative acyl--CoA ligase YhfT,JAQFWG010000001,Metabolism
EMCHGFBB_00064,CDS,1149,yhfS,2.3.1.-,COG0183,Putative acetyl-CoA C-acetyltransferase YhfS,JAQFWG010000001,Other
EMCHGFBB_00065,CDS,375,,,,hypothetical protein,JAQFWG010000001,Other
EMCHGFBB_00066,CDS,264,,,,hypothetical protein,JAQFWG010000001,Other
EMCHGFBB_00067,CDS,1413,proP,,COG0477,Proline/betaine transporter,JAQFWG010000001,Transport
EMCHGFBB_00068,CDS,174,,,,hypothetical protein,JAQFWG010000001,Other
EMCHGFBB_00069,CDS,831,pdxK,2.7.1.35,COG0351,Pyridoxine kinase,JAQFWG010000001,Regulation
EMCHGFBB_00070,CDS,981,yxeI,3.5.1.11,COG3049,Penicillin V acylase,JAQFWG010000001,Other
EMCHGFBB_00071,CDS,669,ung,3.2.2.27,COG0692,Uracil-DNA glycosylase,JAQFWG010000001,Other
EMCHGFBB_00072,CDS,396,,,,hypothetical protein,JAQFWG010000001,Other
EMCHGFBB_00073,CDS,372,,,,hypothetical protein,JAQFWG010000001,Other
EMCHGFBB_00074,CDS,1482,,,,hypothetical protein,JAQFWG010000001,Other
EMCHGFBB_00075,CDS,453,,,,hypothetical protein,JAQFWG010000001,Other
EMCHGFBB_00076,CDS,765,,,,hypothetical protein,JAQFWG010000001,Other
EMCHGFBB_00077,CDS,750,chdC,1.3.98.5,COG3253,Coproheme decarboxylase,JAQFWG010000001,Other
EMCHGFBB_00078,CDS,990,pta,2.3.1.8,,Phosphate acetyltransferase,JAQFWG010000001,Other
EMCHGFBB_00079,CDS,843,lipL,2.3.1.204,COG0095,Octanoyl-[GcvH]:protein N-octanoyltransferase,JAQFWG010000001,Other
EMCHGFBB_00080,CDS,921,galK,2.7.1.6,,Galactokinase,JAQFWG010000001,Regulation
EMCHGFBB_00081,CDS,984,thrB_1,2.7.1.39,,Homoserine kinase,JAQFWG010000001,Regulation
EMCHGFBB_00082,CDS,1077,,2.7.4.2,,Phosphomevalonate kinase,JAQFWG010000001,Regulation
EMCHGFBB_00083,CDS,342,,,,hypothetical protein,JAQFWG010000001,Other
EMCHGFBB_00084,CDS,1323,rclA,,COG1249,putative pyridine nucleotide-disulfide oxidoreductase RclA,JAQFWG010000001,Redox / energy
EMCHGFBB_00085,CDS,444,,,,hypothetical protein,JAQFWG010000001,Other
EMCHGFBB_00086,CDS,672,guaA,6.3.5.2,,GMP synthase [glutamine-hydrolyzing],JAQFWG010000001,Metabolism
EMCHGFBB_00087,CDS,939,iolS,1.1.1.-,COG0667,Aldo-keto reductase IolS,JAQFWG010000001,Other
EMCHGFBB_00088,CDS,540,ywqN,1.-.-.-,COG0655,Putative NAD(P)H-dependent FMN-containing oxidoreductase YwqN,JAQFWG010000001,Redox / energy
EMCHGFBB_00089,CDS,477,rimI,2.3.1.266,,[Ribosomal protein bS18]-alanine N-acetyltransferase,JAQFWG010000001,Other
EMCHGFBB_00090,CDS,1299,,,,hypothetical protein,JAQFWG010000001,Other
EMCHGFBB_00091,CDS,507,,,,hypothetical protein,JAQFWG010000001,Other
EMCHGFBB_00092,CDS,1179,larC,4.99.1.12,COG1641,"Pyridinium-3,5-bisthiocarboxylic acid mononucleotide nickel insertion protein",JAQFWG010000001,Other
EMCHGFBB_00093,CDS,759,larB,2.5.1.143,COG1691,"Pyridinium-3,5-biscarboxylic acid mononucleotide synthase",JAQFWG010000001,Metabolism
EMCHGFBB_00094,CDS,825,larE,4.4.1.37,COG1606,"Pyridinium-3,5-bisthiocarboxylic acid mononucleotide synthase",JAQFWG010000001,Metabolism
EMCHGFBB_00095,CDS,1266,larA,5.1.2.1,COG3875,Lactate racemase,JAQFWG010000001,Other
EMCHGFBB_00096,CDS,240,,,,hypothetical protein,JAQFWG010000001,Other
EMCHGFBB_00097,CDS,393,,,,hypothetical protein,JAQFWG010000001,Other
EMCHGFBB_00098,CDS,126,,,,hypothetical protein,JAQFWG010000001,Other
EMCHGFBB_00099,CDS,414,ywiB,,COG4506,putative beta-barrel protein YwiB,JAQFWG010000001,Other
EMCHGFBB_00100,CDS,1662,argS,6.1.1.19,,Arginine--tRNA ligase,JAQFWG010000001,Metabolism
EMCHGFBB_00101,CDS,633,nth_1,4.2.99.18,,Endonuclease III,JAQFWG010000001,Other
EMCHGFBB_00102,CDS,513,,,,hypothetical protein,JAQFWG010000001,Other
EMCHGFBB_00103,CDS,510,,,,hypothetical protein,JAQFWG010000001,Other
EMCHGFBB_00104,CDS,1347,mepA,,,Multidrug export protein MepA,JAQFWG010000001,Other
EMCHGFBB_00105,CDS,897,btuF,,COG0614,Vitamin B12-binding protein,JAQFWG010000001,Other
EMCHGFBB_00106,CDS,951,molB,,COG0609,Molybdate import system permease protein MolB,JAQFWG010000001,Transport
EMCHGFBB_00107,CDS,723,hdl IVa,3.8.1.2,,(S)-2-haloacid dehalogenase 4A,JAQFWG010000001,Other
EMCHGFBB_00108,CDS,789,bioH_1,3.1.1.85,,Pimeloyl-[acyl-carrier protein] methyl ester esterase,JAQFWG010000001,Other
EMCHGFBB_00109,CDS,507,,,,hypothetical protein,JAQFWG010000001,Other
EMCHGFBB_00110,CDS,717,,,,hypothetical protein,JAQFWG010000001,Other
EMCHGFBB_00111,CDS,804,bioH_2,3.1.1.85,,Pimeloyl-[acyl-carrier protein] methyl ester esterase,JAQFWG010000001,Other
EMCHGFBB_00112,CDS,375,sarA,,COG1846,Transcriptional regulator SarA,JAQFWG010000001,Regulation
EMCHGFBB_00113,CDS,954,,,,hypothetical protein,JAQFWG010000001,Other
EMCHGFBB_00114,CDS,930,,,,hypothetical protein,JAQFWG010000001,Other
EMCHGFBB_00115,CDS,222,,,,hypothetical protein,JAQFWG010000001,Other
EMCHGFBB_00116,CDS,207,,,,hypothetical protein,JAQFWG010000001,Other
EMCHGFBB_00117,CDS,558,xerC_1,,,Tyrosine recombinase XerC,JAQFWG010000001,Other
EMCHGFBB_00118,CDS,2403,mrpA,,COG1009,Na(+)/H(+) antiporter subunit A,JAQFWG010000001,Other
EMCHGFBB_00119,CDS,426,mrpB,,COG2111,Na(+)/H(+) antiporter subunit B,JAQFWG010000001,Other
EMCHGFBB_00120,CDS,345,mrpC,,COG1006,Na(+)/H(+) antiporter subunit C,JAQFWG010000001,Other
EMCHGFBB_00121,CDS,1497,mnhD1_1,,,Na(+)/H(+) antiporter subunit D1,JAQFWG010000001,Other
EMCHGFBB_00122,CDS,483,mrpE,,COG1863,Na(+)/H(+) antiporter subunit E,JAQFWG010000001,Other
EMCHGFBB_00123,CDS,303,mrpF,,COG2212,Na(+)/H(+) antiporter subunit F,JAQFWG010000001,Other
EMCHGFBB_00124,CDS,456,,,,hypothetical protein,JAQFWG010000001,Other
EMCHGFBB_00125,CDS,2043,nhaK,,COG0025,"Sodium, potassium, lithium and rubidium/H(+) antiporter",JAQFWG010000001,Other
EMCHGFBB_00126,CDS,930,mntA,,COG0803,Manganese-binding lipoprotein MntA,JAQFWG010000001,Other
EMCHGFBB_00127,CDS,834,mntB,,COG1108,Manganese transport system membrane protein MntB,JAQFWG010000001,Other
EMCHGFBB_00128,CDS,747,scaC,7.2.2.5,,Manganese import ATP-binding protein ScaC,JAQFWG010000001,Other
EMCHGFBB_00129,CDS,645,mntR,,,HTH-type transcriptional regulator MntR,JAQFWG010000001,Regulation
EMCHGFBB_00130,CDS,747,,,,hypothetical protein,JAQFWG010000001,Other
EMCHGFBB_00131,CDS,753,tarA,2.4.1.187,COG1922,N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase,JAQFWG010000001,Other
EMCHGFBB_00132,CDS,795,tagH,7.5.2.4,,Teichoic acids export ATP-binding protein TagH,JAQFWG010000001,Other
EMCHGFBB_00133,CDS,813,tagG,,COG1682,Teichoic acid translocation permease protein TagG,JAQFWG010000001,Transport
EMCHGFBB_00134,CDS,1095,tarB,2.7.8.44,COG1887,Teichoic acid glycerol-phosphate primase,JAQFWG010000001,Other
EMCHGFBB_00135,CDS,1068,tagX,2.4.-.-,,Putative glycosyltransferase TagX,JAQFWG010000001,Other
EMCHGFBB_00136,CDS,399,tarD,2.7.7.39,COG0615,Glycerol-3-phosphate cytidylyltransferase,JAQFWG010000001,Other
EMCHGFBB_00137,CDS,1287,,,,hypothetical protein,JAQFWG010000001,Other
EMCHGFBB_00138,CDS,1728,bmrA,7.6.2.-,COG1132,Multidrug resistance ABC transporter ATP-binding/permease protein BmrA,JAQFWG010000001,Transport
EMCHGFBB_00139,CDS,1230,nupG,,COG1972,Purine nucleoside transport protein NupG,JAQFWG010000001,Other
EMCHGFBB_00140,CDS,834,,,,hypothetical protein,JAQFWG010000001,Other
EMCHGFBB_00141,CDS,801,fepC,7.2.2.17,COG1120,Ferric enterobactin transport ATP-binding protein FepC,JAQFWG010000001,Other
EMCHGFBB_00142,CDS,1005,feuB,,COG0609,Iron-uptake system permease protein FeuB,JAQFWG010000001,Transport
EMCHGFBB_00143,CDS,1017,feuC,,COG0609,Iron-uptake system permease protein FeuC,JAQFWG010000001,Transport
EMCHGFBB_00144,CDS,969,dhaK,2.7.1.121,COG2376,"PTS-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit DhaK",JAQFWG010000001,Regulation
EMCHGFBB_00145,CDS,579,dhaL,2.7.1.121,COG1461,"PTS-dependent dihydroxyacetone kinase, ADP-binding subunit DhaL",JAQFWG010000001,Regulation
EMCHGFBB_00146,CDS,363,dhaM,2.7.1.121,COG3412,"PTS-dependent dihydroxyacetone kinase, phosphotransferase subunit DhaM",JAQFWG010000001,Regulation
EMCHGFBB_00147,CDS,501,,,,hypothetical protein,JAQFWG010000001,Other
EMCHGFBB_00148,CDS,1068,,,,hypothetical protein,JAQFWG010000001,Other
EMCHGFBB_00149,CDS,1050,aes,3.1.1.-,,Acetyl esterase,JAQFWG010000001,Other
EMCHGFBB_00150,CDS,507,,,,hypothetical protein,JAQFWG010000001,Other
EMCHGFBB_00151,CDS,924,graX,,COG0451,Auxiliary protein GraX,JAQFWG010000001,Other
EMCHGFBB_00152,CDS,675,graR,,COG0745,Response regulator protein GraR,JAQFWG010000001,Regulation
EMCHGFBB_00153,CDS,1041,graS,2.7.13.3,,Sensor protein kinase GraS,JAQFWG010000001,Regulation
EMCHGFBB_00154,CDS,762,bceA,,COG1136,Bacitracin export ATP-binding protein BceA,JAQFWG010000001,Other
EMCHGFBB_00155,CDS,1890,bceB,,COG0577,Bacitracin export permease protein BceB,JAQFWG010000001,Transport
EMCHGFBB_00156,CDS,390,,,,hypothetical protein,JAQFWG010000001,Other
EMCHGFBB_00157,CDS,618,,,,hypothetical protein,JAQFWG010000001,Other
EMCHGFBB_00158,CDS,1011,,,,hypothetical protein,JAQFWG010000001,Other
EMCHGFBB_00159,CDS,825,,3.5.1.28,COG1388,putative autolysin SsaALP,JAQFWG010000001,Other
EMCHGFBB_00160,CDS,645,,,,hypothetical protein,JAQFWG010000001,Other
EMCHGFBB_00161,CDS,2184,rhaR,,,HTH-type transcriptional activator RhaR,JAQFWG010000001,Other
EMCHGFBB_00162,CDS,360,sarX,,,HTH-type transcriptional regulator SarX,JAQFWG010000001,Regulation
EMCHGFBB_00163,CDS,717,,,,putative transcriptional regulatory protein,JAQFWG010000001,Regulation
EMCHGFBB_00164,CDS,480,,,,hypothetical protein,JAQFWG010000001,Other
EMCHGFBB_00165,CDS,606,,,,hypothetical protein,JAQFWG010000001,Other
EMCHGFBB_00166,CDS,855,oxyR,,COG0583,DNA-binding transcriptional dual regulator OxyR,JAQFWG010000001,Regulation
EMCHGFBB_00167,CDS,1209,setA,,COG2814,Sugar efflux transporter A,JAQFWG010000001,Transport
EMCHGFBB_00168,CDS,489,,,,hypothetical protein,JAQFWG010000001,Other
EMCHGFBB_00169,CDS,690,,,,hypothetical protein,JAQFWG010000001,Other
EMCHGFBB_00170,CDS,444,,,,hypothetical protein,JAQFWG010000001,Other
EMCHGFBB_00171,CDS,291,,,,hypothetical protein,JAQFWG010000001,Other
EMCHGFBB_00172,CDS,297,,,,hypothetical protein,JAQFWG010000001,Other
EMCHGFBB_00173,CDS,546,,2.3.1.-,,Acetyltransferase,JAQFWG010000001,Other
EMCHGFBB_00174,CDS,567,yvdD,,COG1611,LOG family protein YvdD,JAQFWG010000001,Other
EMCHGFBB_00175,CDS,450,,,,hypothetical protein,JAQFWG010000001,Other
EMCHGFBB_00176,CDS,684,,,,hypothetical protein,JAQFWG010000001,Other
EMCHGFBB_00177,CDS,873,uppP,3.6.1.27,COG1968,Undecaprenyl-diphosphatase,JAQFWG010000001,Other
EMCHGFBB_00178,CDS,1638,cydD,7.4.2.-,COG4988,Glutathione/L-cysteine transport system ATP-binding/permease protein CydD,JAQFWG010000001,Transport
EMCHGFBB_00179,CDS,1680,cydC,7.4.2.-,COG4987,Glutathione/L-cysteine transport system ATP-binding/permease protein CydC,JAQFWG010000001,Transport
